Zip,City,State,HOH College,Spouse College
74053-4014,Oologah,OK,Agriculture,Agriculture
28609-8069,Catawba,NC,Agriculture,Agriculture
86404-1162,Lake Havasu City,AZ,Agriculture,Agriculture
37049-5112,Cross Plains,TN,Agriculture,Agriculture
37367-3838,Pikeville,TN,Agriculture,Agriculture
38501-7819,Cookeville,TN,Agriculture,Agriculture
37357-5290,Morrison,TN,Agriculture,Agriculture
37074-3239,Hartsville,TN,Agriculture,Agriculture
38477-6333,Prospect,TN,Agriculture,Agriculture
38501-7862,Cookeville,TN,Agriculture,Agriculture
38501-8982,Cookeville,TN,Agriculture,Agriculture
38506-8213,Cookeville,TN,Agriculture,Agriculture
38554-3951,Crawford,TN,Agriculture,Agriculture
38501-2653,Cookeville,TN,Agriculture,Agriculture
38501-0734,Cookeville,TN,Agriculture,Agriculture
37721-2706,Corryton,TN,Agriculture,Agriculture
38401-8209,Columbia,TN,Agriculture,Agriculture
38544-5378,Baxter,TN,Agriculture,Agriculture
38574-3348,Monterey,TN,Agriculture,Agriculture
37803-1937,Maryville,TN,Agriculture,Agriculture
37048-5049,Cottontown,TN,Agriculture,Agriculture
37101-5510,Mc Ewen,TN,Agriculture,Agriculture
38583-2705,Sparta,TN,Agriculture,Agriculture
38372-3756,Savannah,TN,Agriculture,Agriculture
37110-7636,Mc Minnville,TN,Agriculture,Agriculture
37033-4801,Centerville,TN,Agriculture,Agriculture
37880-4451,Ten Mile,TN,Agriculture,Agriculture
37083-0342,Lafayette,TN,Agriculture,Agriculture
38506-1210,Cookeville,TN,Agriculture,Agriculture
37160-5842,Shelbyville,TN,Agriculture,Agriculture
38329-4466,Decaturville,TN,Agriculture,Agriculture
30740-9192,Rocky Face,GA,Agriculture,Agriculture
37090-0774,Lebanon,TN,Agriculture,Agriculture
38548-5249,Buffalo Valley,TN,Agriculture,Agriculture
38583-5607,Sparta,TN,Agriculture,Agriculture
37012-3660,Alexandria,TN,Agriculture,Agriculture
38002-8822,Arlington,TN,Agriculture,Agriculture
37030-1861,Carthage,TN,Agriculture,Agriculture
38506-7668,Cookeville,TN,Agriculture,Agriculture
38575-6312,Moss,TN,Agriculture,Agriculture
37066-8523,Gallatin,TN,Agriculture,Agriculture
37172-7136,Springfield,TN,Agriculture,Agriculture
38570-8179,Livingston,TN,Agriculture,Agriculture
37683-5157,Mountain City,TN,Agriculture,Arts and Sciences
38562-0675,Gainesboro,TN,Agriculture,Arts and Sciences
38585-4822,Spencer,TN,Agriculture,Arts and Sciences
37357-6113,Morrison,TN,Agriculture,Arts and Sciences
37150-3341,Red Boiling Springs,TN,Agriculture,Arts and Sciences
38501-5607,Cookeville,TN,Agriculture,Arts and Sciences
37377-3127,Signal Mountain,TN,Agriculture,Arts and Sciences
37919-8602,Knoxville,TN,Agriculture,Arts and Sciences
38583-5311,Sparta,TN,Agriculture,Arts and Sciences
37367-6829,Pikeville,TN,Agriculture,Arts and Sciences
37922-5162,Knoxville,TN,Agriculture,Arts and Sciences
38559-3034,Doyle,TN,Agriculture,Arts and Sciences
38562-5565,Gainesboro,TN,Agriculture,Arts and Sciences
37327-3616,Dunlap,TN,Agriculture,Arts and Sciences
38503-1318,Cookeville,TN,Agriculture,Arts and Sciences
38506-9079,Cookeville,TN,Agriculture,Arts and Sciences
37763-5026,Kingston,TN,Agriculture,Arts and Sciences
37752-3709,Harrogate,TN,Agriculture,Arts and Sciences
37072-3403,Goodlettsville,TN,Agriculture,Arts and Sciences
38580-1940,Rickman,TN,Agriculture,Arts and Sciences
38563-4577,Gordonsville,TN,Agriculture,Arts and Sciences
35603-2689,Decatur,AL,Agriculture,Arts and Sciences
38575-6507,Moss,TN,Agriculture,Arts and Sciences
38570-5945,Livingston,TN,Agriculture,Arts and Sciences
63640-7502,Farmington,MO,Agriculture,Arts and Sciences
37075-4904,Hendersonville,TN,Agriculture,Arts and Sciences
38506-7140,Cookeville,TN,Agriculture,Arts and Sciences
62439-3351,Lawrenceville,IL,Agriculture,Arts and Sciences
37841-3416,Oneida,TN,Agriculture,Arts and Sciences
37303-4042,Athens,TN,Agriculture,Arts and Sciences
42602-6197,Albany,KY,Agriculture,Arts and Sciences
38506-9058,Cookeville,TN,Agriculture,Arts and Sciences
38583-0362,Sparta,TN,Agriculture,Arts and Sciences
37342-0047,Hillsboro,TN,Agriculture,Business Administration
37087-7468,Lebanon,TN,Agriculture,Business Administration
29229-7001,Columbia,SC,Agriculture,Business Administration
38501-6621,Cookeville,TN,Agriculture,Business Administration
37027-6128,Brentwood,TN,Agriculture,Business Administration
38506-7454,Cookeville,TN,Agriculture,Business Administration
38506-3529,Cookeville,TN,Agriculture,Business Administration
37110-3690,Mc Minnville,TN,Agriculture,Business Administration
37130-1356,Murfreesboro,TN,Agriculture,Business Administration
37388-6173,Tullahoma,TN,Agriculture,Business Administration
37354-6100,Madisonville,TN,Agriculture,Business Administration
